1.6340 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['pygame', 'sounddevice', 'PTB', 'pyo'] (in that order).
140.0489 	EXP 	polygon_4: autoDraw = False
140.0527 	EXP 	New trial (rep=15, index=0): None
140.0635 	EXP 	strza: autoDraw = False
140.0635 	EXP 	polygon_3: autoDraw = False
140.0635 	EXP 	polygon_4: autoDraw = False
140.0635 	EXP 	fiksa: autoDraw = True
142.0633 	EXP 	fiksa: autoDraw = False
142.0633 	EXP 	fiksa: autoDraw = False
142.0633 	EXP 	strza: autoDraw = True
142.0633 	EXP 	polygon_3: autoDraw = True
145.0511 	EXP 	polygon_4: autoDraw = True
148.0318 	EXP 	polygon_3: autoDraw = False
148.0318 	EXP 	polygon_4: autoDraw = False
148.0523 	EXP 	New trial (rep=16, index=0): None
148.0657 	EXP 	strza: autoDraw = False
148.0657 	EXP 	strza: autoDraw = False
148.0657 	EXP 	polygon_3: autoDraw = False
148.0657 	EXP 	polygon_4: autoDraw = False
148.0657 	EXP 	fiksa: autoDraw = True
150.0841 	EXP 	fiksa: autoDraw = False
150.0841 	EXP 	strza: autoDraw = True
150.0841 	EXP 	polygon_3: autoDraw = True
153.0489 	EXP 	polygon_4: autoDraw = True
156.0497 	EXP 	polygon_3: autoDraw = False
156.0497 	EXP 	polygon_4: autoDraw = False
156.0702 	EXP 	New trial (rep=17, index=0): None
156.0854 	EXP 	strza: autoDraw = False
156.0854 	EXP 	polygon_3: autoDraw = False
156.0854 	EXP 	polygon_4: autoDraw = False
156.0854 	EXP 	fiksa: autoDraw = True
158.0852 	EXP 	fiksa: autoDraw = False
158.0852 	EXP 	strza: autoDraw = True
158.0852 	EXP 	polygon_3: autoDraw = True
161.0681 	EXP 	polygon_4: autoDraw = True
164.0542 	EXP 	polygon_3: autoDraw = False
164.0542 	EXP 	polygon_4: autoDraw = False
164.0758 	EXP 	New trial (rep=18, index=0): None
164.0868 	EXP 	strza: autoDraw = False
164.0868 	EXP 	strza: autoDraw = False
164.0868 	EXP 	polygon_3: autoDraw = False
164.0868 	EXP 	polygon_4: autoDraw = False
164.0868 	EXP 	fiksa: autoDraw = True
166.0868 	EXP 	fiksa: autoDraw = False
166.0868 	EXP 	fiksa: autoDraw = False
166.0868 	EXP 	strza: autoDraw = True
166.0868 	EXP 	polygon_4: autoDraw = True
169.0549 	EXP 	polygon_3: autoDraw = True
172.0580 	EXP 	polygon_3: autoDraw = False
172.0580 	EXP 	polygon_4: autoDraw = False
172.0762 	EXP 	New trial (rep=19, index=0): None
172.0895 	EXP 	strza: autoDraw = False
172.0895 	EXP 	strza: autoDraw = False
172.0895 	EXP 	polygon_3: autoDraw = False
172.0895 	EXP 	polygon_4: autoDraw = False
172.0895 	EXP 	fiksa: autoDraw = True
174.0890 	EXP 	fiksa: autoDraw = False
174.0890 	EXP 	fiksa: autoDraw = False
174.0890 	EXP 	strza: autoDraw = True
174.0890 	EXP 	polygon_4: autoDraw = True
177.0738 	EXP 	polygon_3: autoDraw = True
180.0624 	EXP 	polygon_3: autoDraw = False
180.0624 	EXP 	polygon_4: autoDraw = False
180.0821 	EXP 	New trial (rep=20, index=0): None
180.0910 	EXP 	strza: autoDraw = False
180.0910 	EXP 	polygon_3: autoDraw = False
180.0910 	EXP 	polygon_4: autoDraw = False
180.0910 	EXP 	fiksa: autoDraw = True
182.0919 	EXP 	fiksa: autoDraw = False
182.0919 	EXP 	fiksa: autoDraw = False
182.0919 	EXP 	strza: autoDraw = True
182.0919 	EXP 	polygon_3: autoDraw = True
185.0595 	EXP 	polygon_4: autoDraw = True
188.0605 	EXP 	polygon_3: autoDraw = False
188.0605 	EXP 	polygon_4: autoDraw = False
188.0800 	EXP 	New trial (rep=21, index=0): None
188.0977 	EXP 	strza: autoDraw = False
188.0977 	EXP 	strza: autoDraw = False
188.0977 	EXP 	polygon_3: autoDraw = False
188.0977 	EXP 	polygon_4: autoDraw = False
188.0977 	EXP 	fiksa: autoDraw = True
190.1131 	EXP 	fiksa: autoDraw = False
190.1131 	EXP 	strza: autoDraw = True
190.1131 	EXP 	polygon_3: autoDraw = True
193.0994 	EXP 	polygon_4: autoDraw = True
196.0969 	EXP 	polygon_3: autoDraw = False
196.0969 	EXP 	polygon_4: autoDraw = False
196.0990 	EXP 	New trial (rep=22, index=0): None
196.1190 	EXP 	strza: autoDraw = False
196.1190 	EXP 	polygon_3: autoDraw = False
196.1190 	EXP 	polygon_4: autoDraw = False
196.1190 	EXP 	fiksa: autoDraw = True
198.1308 	EXP 	fiksa: autoDraw = False
198.1308 	EXP 	strza: autoDraw = True
198.1308 	EXP 	polygon_3: autoDraw = True
201.1187 	EXP 	polygon_4: autoDraw = True
204.1045 	EXP 	New trial (rep=23, index=0): None
204.1168 	EXP 	strza: autoDraw = False
204.1168 	EXP 	polygon_3: autoDraw = False
204.1168 	EXP 	polygon_4: autoDraw = False
204.1168 	EXP 	fiksa: autoDraw = True
206.1196 	EXP 	fiksa: autoDraw = False
206.1196 	EXP 	fiksa: autoDraw = False
206.1196 	EXP 	strza: autoDraw = True
206.1196 	EXP 	polygon_3: autoDraw = True
209.0859 	EXP 	polygon_4: autoDraw = True
212.1020 	EXP 	polygon_3: autoDraw = False
212.1020 	EXP 	polygon_4: autoDraw = False
212.1053 	EXP 	New trial (rep=24, index=0): None
212.1231 	EXP 	strza: autoDraw = False
212.1231 	EXP 	strza: autoDraw = False
212.1231 	EXP 	polygon_3: autoDraw = False
212.1231 	EXP 	polygon_4: autoDraw = False
212.1231 	EXP 	fiksa: autoDraw = True
214.1391 	EXP 	fiksa: autoDraw = False
214.1391 	EXP 	strza: autoDraw = True
214.1391 	EXP 	polygon_3: autoDraw = True
217.1034 	EXP 	polygon_4: autoDraw = True
220.1080 	EXP 	polygon_3: autoDraw = False
220.1080 	EXP 	polygon_4: autoDraw = False
220.1108 	EXP 	New trial (rep=25, index=0): None
220.1247 	EXP 	strza: autoDraw = False
220.1247 	EXP 	polygon_3: autoDraw = False
220.1247 	EXP 	polygon_4: autoDraw = False
220.1247 	EXP 	fiksa: autoDraw = True
222.1397 	EXP 	fiksa: autoDraw = False
222.1397 	EXP 	strza: autoDraw = True
222.1397 	EXP 	polygon_4: autoDraw = True
225.1063 	EXP 	polygon_3: autoDraw = True
228.1094 	EXP 	polygon_3: autoDraw = False
228.1094 	EXP 	polygon_4: autoDraw = False
228.1276 	EXP 	New trial (rep=26, index=0): None
228.1427 	EXP 	strza: autoDraw = False
228.1427 	EXP 	polygon_3: autoDraw = False
228.1427 	EXP 	polygon_4: autoDraw = False
228.1427 	EXP 	fiksa: autoDraw = True
230.1581 	EXP 	fiksa: autoDraw = False
230.1581 	EXP 	strza: autoDraw = True
230.1581 	EXP 	polygon_4: autoDraw = True
233.1256 	EXP 	polygon_3: autoDraw = True
236.1266 	EXP 	polygon_3: autoDraw = False
236.1266 	EXP 	polygon_4: autoDraw = False
236.1471 	EXP 	New trial (rep=27, index=0): None
236.1632 	EXP 	strza: autoDraw = False
236.1632 	EXP 	polygon_3: autoDraw = False
236.1632 	EXP 	polygon_4: autoDraw = False
236.1632 	EXP 	fiksa: autoDraw = True
238.1813 	EXP 	fiksa: autoDraw = False
238.1813 	EXP 	strza: autoDraw = True
238.1813 	EXP 	polygon_3: autoDraw = True
241.1655 	EXP 	polygon_4: autoDraw = True
244.1459 	EXP 	polygon_3: autoDraw = False
244.1459 	EXP 	polygon_4: autoDraw = False
244.1701 	EXP 	New trial (rep=28, index=0): None
244.1801 	EXP 	strza: autoDraw = False
244.1801 	EXP 	polygon_3: autoDraw = False
244.1801 	EXP 	polygon_4: autoDraw = False
244.1801 	EXP 	fiksa: autoDraw = True
246.1807 	EXP 	fiksa: autoDraw = False
246.1807 	EXP 	fiksa: autoDraw = False
246.1807 	EXP 	strza: autoDraw = True
246.1807 	EXP 	polygon_3: autoDraw = True
249.1642 	EXP 	polygon_4: autoDraw = True
252.1493 	EXP 	polygon_3: autoDraw = False
252.1493 	EXP 	polygon_4: autoDraw = False
252.1676 	EXP 	New trial (rep=29, index=0): None
252.1857 	EXP 	strza: autoDraw = False
252.1857 	EXP 	strza: autoDraw = False
252.1857 	EXP 	polygon_3: autoDraw = False
252.1857 	EXP 	polygon_4: autoDraw = False
252.1857 	EXP 	fiksa: autoDraw = True
254.2005 	EXP 	fiksa: autoDraw = False
254.2005 	EXP 	strza: autoDraw = True
254.2005 	EXP 	polygon_4: autoDraw = True
257.1664 	EXP 	polygon_3: autoDraw = True
260.1707 	EXP 	polygon_3: autoDraw = False
260.1707 	EXP 	polygon_4: autoDraw = False
260.1729 	EXP 	New trial (rep=30, index=0): None
260.1840 	EXP 	strza: autoDraw = False
260.1840 	EXP 	polygon_3: autoDraw = False
260.1840 	EXP 	polygon_4: autoDraw = False
260.1840 	EXP 	fiksa: autoDraw = True
